Red,Green,Blue
0,2,0
0,2,1
0,1,1
0,2,1
0,2,2
1,2,3
1,2,3
1,1,5
1,2,10
1,1,7
5,2,10
5,3,12
7,4,9
6,4,10
9,7,13
9,6,12
5,5,11
6,10,12
4,8,9
6,9,14
6,9,11
5,10,11
7,11,11
6,11,10
6,10,9
7,11,12
7,8,11
12,8,9
12,12,11
12,8,11
11,9,14
12,12,10
8,11,9
8,8,10
8,11,10
8,9,10
8,10,12
7,8,10
8,9,7
8,8,11
10,10,8
11,9,9
12,10,9
12,9,8
11,9,9
12,12,8
11,8,12
11,11,10
10,12,7
9,11,7
11,9,11
13,10,9
12,15,8
12,14,11
8,12,10
9,14,12
9,10,5
9,10,8
10,11,6
9,12,8
8,10,10
13,12,9
11,9,5
9,13,11
9,11,12
11,8,9
12,6,10
8,8,10
6,10,9
8,10,11
8,6,11
10,9,10
8,7,13
6,6,10
10,7,15
8,7,13
8,6,11
10,7,11
4,8,15
8,9,12
7,7,12
8,7,12
8,6,11
10,4,16
5,6,13
10,6,14
7,5,12
7,8,12
7,7,12
9,7,16
10,8,13
8,7,13
9,9,10
11,8,14
12,12,14
12,11,11
16,8,14
10,14,12
17,15,14
17,16,17
13,17,14
11,14,12
16,15,12
12,14,14
16,14,12
12,15,14
11,16,15
13,14,10
12,15,14
14,16,15
15,16,12
13,16,12
13,15,13
13,16,9
16,17,10
13,14,13
17,16,12
13,13,11
18,16,12
13,14,11
15,19,12
15,17,13
13,17,15
14,15,13
11,14,11
12,13,14
11,13,14
12,15,12
9,11,10
11,12,10
8,12,10
9,16,7
9,9,12
9,11,8
10,10,11
8,12,9
9,12,11
8,13,10
8,11,11
9,11,9
9,17,11
10,10,10
10,13,11
8,13,9
8,10,9
7,11,9
12,9,11
9,9,8
7,9,11
11,10,10
12,10,7
8,12,8
9,8,10
7,11,8
11,14,11
8,13,9
11,11,10
10,6,8
10,15,10
8,12,13
10,7,9
8,8,7
11,9,6
10,9,6
9,9,8
8,9,8
9,9,8
9,7,8
9,7,6
11,8,10
9,8,13
9,9,12
9,12,9
9,10,7
10,11,12
7,9,12
8,11,11
9,12,9
10,8,12
11,12,12
10,8,10
11,13,12
10,12,10
11,8,15
9,10,12
9,9,16
12,11,13
9,11,11
9,7,12
8,12,15
7,10,14
8,11,14
8,11,15
9,12,11
8,14,13
8,14,10
11,10,13
10,10,12
8,13,11
9,12,12
7,14,11
9,15,10
9,14,6
10,16,5
12,13,5
10,15,4
12,13,5
11,11,5
10,8,4
12,10,3
11,8,2
12,12,1
9,8,1
12,8,1
10,5,1
10,6,1
9,7,1
11,7,1
10,4,1
12,3,1
11,3,0
10,2,0
8,1,0
8,1,0
5,1,0
3,2,0
3,2,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,2,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,2,0
1,1,0
1,1,0
1,2,0
1,2,0
1,1,0
1,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,2,0
